osmid,y,x,street_count,highway,ref,railway,geometry
65294644,37.72082,-122.4761155,3,,,,POINT (-122.4761155 37.72082)
65294646,37.7200202,-122.476046,3,,,,POINT (-122.476046 37.7200202)
65295108,37.7451732,-122.4703829,3,,,,POINT (-122.4703829 37.7451732)
65295111,37.7451096,-122.4714883,4,,,,POINT (-122.4714883 37.7451096)
65295118,37.7450122,-122.4737024,4,,,,POINT (-122.4737024 37.7450122)
65295120,37.7449666,-122.4747513,4,,,,POINT (-122.4747513 37.7449666)
65295122,37.7449181,-122.4758552,4,traffic_signals,,,POINT (-122.4758552 37.7449181)
65295126,37.7448708,-122.4769152,4,,,,POINT (-122.4769152 37.7448708)
65295128,37.7448237,-122.4779862,4,,,,POINT (-122.4779862 37.7448237)
65295130,37.7447766,-122.4790568,4,,,,POINT (-122.4790568 37.7447766)
65295132,37.744683,-122.4811982,4,,,,POINT (-122.4811982 37.744683)
65295135,37.744635,-122.4822733,4,,,,POINT (-122.4822733 37.744635)
65295139,37.7445879,-122.4833431,4,,,,POINT (-122.4833431 37.7445879)
65295147,37.7444939,-122.4854816,4,,,,POINT (-122.4854816 37.7444939)
65295150,37.7444465,-122.4865552,4,,,,POINT (-122.4865552 37.7444465)
65295153,37.7443994,-122.4876262,4,,,,POINT (-122.4876262 37.7443994)
65295156,37.7443523,-122.4886978,4,,,,POINT (-122.4886978 37.7443523)
65295158,37.7443052,-122.4897693,4,,,,POINT (-122.4897693 37.7443052)
65295160,37.7442581,-122.4908397,4,,,,POINT (-122.4908397 37.7442581)
65295162,37.7442107,-122.4919155,4,,,,POINT (-122.4919155 37.7442107)
65295164,37.7441637,-122.4929834,4,,,,POINT (-122.4929834 37.7441637)
65295168,37.7441166,-122.4940548,4,,,,POINT (-122.4940548 37.7441166)
65295170,37.7440695,-122.4951245,4,,,,POINT (-122.4951245 37.7440695)
65295172,37.7440222,-122.4961985,4,,,,POINT (-122.4961985 37.7440222)
65295177,37.7439751,-122.4972697,4,stop,,,POINT (-122.4972697 37.7439751)
65295179,37.743928,-122.4983398,4,,,,POINT (-122.4983398 37.743928)
65295181,37.7438809,-122.4994106,4,stop,,,POINT (-122.4994106 37.7438809)
65295183,37.7438338,-122.5004819,4,stop,,,POINT (-122.5004819 37.7438338)
65295187,37.7437866,-122.5015546,4,,,,POINT (-122.5015546 37.7437866)
65295190,37.7437394,-122.5026266,4,stop,,,POINT (-122.5026266 37.7437394)
65295192,37.7436922,-122.5036991,4,,,,POINT (-122.5036991 37.7436922)
65295206,37.7436451,-122.5047688,4,stop,,,POINT (-122.5047688 37.7436451)
65295214,37.743598,-122.5058404,4,stop,,,POINT (-122.5058404 37.743598)
65295218,37.7435508,-122.5069111,4,stop,,,POINT (-122.5069111 37.7435508)
65295223,37.7435376,-122.5072137,3,,,,POINT (-122.5072137 37.7435376)
65295530,37.7152134,-122.4803093,3,,,,POINT (-122.4803093 37.7152134)
