osmid,y,x,street_count,highway,ref,railway,geometry
10251824554,37.7784485,-122.3933086,3,,,,POINT (-122.3933086 37.7784485)
10258966985,37.7782967,-122.4089817,3,,,,POINT (-122.4089817 37.7782967)
10276578301,37.7701352,-122.453523,2,,,,POINT (-122.453523 37.7701352)
10276702845,37.7734918,-122.415088,4,,,,POINT (-122.415088 37.7734918)
10651123313,37.8175797,-122.3677694,1,,,,POINT (-122.3677694 37.8175797)
10688345837,37.721656,-122.401141,4,,,,POINT (-122.401141 37.721656)
10700027098,37.7310893,-122.4218289,4,,,,POINT (-122.4218289 37.7310893)
10712988204,37.7618049,-122.418282,1,,,,POINT (-122.418282 37.7618049)
10713016405,37.7588135,-122.418,1,,,,POINT (-122.418 37.7588135)
10736558474,37.7425033,-122.3973427,1,,,,POINT (-122.3973427 37.7425033)
10746980929,37.7876488,-122.489761,3,crossing,,,POINT (-122.489761 37.7876488)
10755076821,37.7196445,-122.4721375,3,,,,POINT (-122.4721375 37.7196445)
10755076823,37.7196196,-122.4723841,3,,,,POINT (-122.4723841 37.7196196)
10790836779,37.75721,-122.417846,1,,,,POINT (-122.417846 37.75721)
10790836782,37.7556032,-122.41769,1,,,,POINT (-122.41769 37.7556032)
10824617369,37.7392329,-122.4081755,3,motorway_junction,431,,POINT (-122.4081755 37.7392329)
10824617374,37.7423374,-122.4074598,1,,,,POINT (-122.4074598 37.7423374)
10862747780,37.771185,-122.4452859,2,,,,POINT (-122.4452859 37.771185)
10874220535,37.8095853,-122.3634675,3,,,,POINT (-122.3634675 37.8095853)
10946845803,37.7616995,-122.4215954,4,traffic_signals,,,POINT (-122.4215954 37.7616995)
10946858782,37.7622335,-122.4229485,3,,,,POINT (-122.4229485 37.7622335)
11013857493,37.7258675,-122.4178322,1,,,,POINT (-122.4178322 37.7258675)
11030036732,37.7267357,-122.4709179,3,,,,POINT (-122.4709179 37.7267357)
11030036733,37.7268045,-122.4708355,3,,,,POINT (-122.4708355 37.7268045)
11030036734,37.7267887,-122.4708364,3,,,,POINT (-122.4708364 37.7267887)
11030036735,37.7268395,-122.4709795,3,,,,POINT (-122.4709795 37.7268395)
11037467463,37.7366015,-122.3857973,3,,,,POINT (-122.3857973 37.7366015)
11037467464,37.7366702,-122.3857525,3,,,,POINT (-122.3857525 37.7366702)
11037467465,37.7366725,-122.3857325,3,,,,POINT (-122.3857325 37.7366725)
11037467466,37.7366263,-122.3856649,3,,,,POINT (-122.3856649 37.7366263)
11037467467,37.7366429,-122.3856712,3,,,,POINT (-122.3856712 37.7366429)
11037467468,37.7365653,-122.3857264,3,,,,POINT (-122.3857264 37.7365653)
11037467469,37.7365665,-122.3857483,3,,,,POINT (-122.3857483 37.7365665)
11037467470,37.7365853,-122.385786,3,,,,POINT (-122.385786 37.7365853)
11037771515,37.7649158,-122.4219057,4,traffic_signals,,,POINT (-122.4219057 37.7649158)
11037771551,37.7633026,-122.4217515,4,traffic_signals,,,POINT (-122.4217515 37.7633026)
11063934687,37.8184981,-122.372379,3,,,,POINT (-122.372379 37.8184981)
11063934691,37.8213823,-122.3743453,1,,,,POINT (-122.3743453 37.8213823)
11072071266,37.7919867,-122.4486231,1,,,,POINT (-122.4486231 37.7919867)
11072071268,37.7911498,-122.4518801,1,,,,POINT (-122.4518801 37.7911498)
11124088381,37.7754196,-122.3890446,3,stop,,,POINT (-122.3890446 37.7754196)
11124088383,37.7754665,-122.38821,3,stop,,,POINT (-122.38821 37.7754665)
11124088384,37.774893,-122.3881541,1,turning_circle,,,POINT (-122.3881541 37.774893)
11145459603,37.7829831,-122.3957825,1,,,,POINT (-122.3957825 37.7829831)
11167484445,37.7956205,-122.3958949,1,,,,POINT (-122.3958949 37.7956205)
11198963463,37.7615651,-122.480229,4,,,,POINT (-122.480229 37.7615651)
11198963470,37.7616134,-122.4791578,4,,,,POINT (-122.4791578 37.7616134)
11198963471,37.7616618,-122.4780877,4,,,,POINT (-122.4780877 37.7616618)
11260045905,37.799422,-122.4456601,3,,,,POINT (-122.4456601 37.799422)
11260045906,37.7996401,-122.445547,3,,,,POINT (-122.445547 37.7996401)
11268318786,37.7420419,-122.5003555,4,stop,,,POINT (-122.5003555 37.7420419)
11268318789,37.7419402,-122.5010264,3,,,,POINT (-122.5010264 37.7419402)
11268318790,37.7419076,-122.5003461,4,stop,,,POINT (-122.5003461 37.7419076)
11268318793,37.7420006,-122.4996543,3,,,,POINT (-122.4996543 37.7420006)
11297645085,37.732074,-122.3741703,1,,,,POINT (-122.3741703 37.732074)
11306603765,37.7438138,-122.460982,3,stop,,,POINT (-122.460982 37.7438138)
11337040863,37.8035415,-122.41488,7,traffic_signals,,,POINT (-122.41488 37.8035415)
11337065958,37.7239267,-122.394895,4,traffic_signals,,,POINT (-122.394895 37.7239267)
11337742045,37.7431879,-122.4735607,4,traffic_signals,,,POINT (-122.4735607 37.7431879)
11337742046,37.7430834,-122.47355,4,traffic_signals,,,POINT (-122.47355 37.7430834)
11343312071,37.8133424,-122.3632512,1,,,,POINT (-122.3632512 37.8133424)
11370009807,37.7991022,-122.4046825,1,,,,POINT (-122.4046825 37.7991022)
11397069573,37.7623004,-122.4383723,3,,,,POINT (-122.4383723 37.7623004)
11397069575,37.7622351,-122.4384378,3,,,,POINT (-122.4384378 37.7622351)
11491201770,37.7665299,-122.4289383,1,,,,POINT (-122.4289383 37.7665299)
11518537250,37.8002019,-122.418761,2,,,,POINT (-122.418761 37.8002019)
11586185528,37.8212285,-122.3693854,1,,,,POINT (-122.3693854 37.8212285)
11612881875,37.8180129,-122.3728379,1,,,,POINT (-122.3728379 37.8180129)
11644726181,37.821176,-122.3693515,1,,,,POINT (-122.3693515 37.821176)
11885909447,37.7759083,-122.3875463,1,,,,POINT (-122.3875463 37.7759083)
