u,v
65297024,65357344
65297024,11268318789
65297026,65353320
65297026,65297028
65297026,65297024
65297026,65330010
65297028,65287888
65297028,65297026
65297028,65340972
65297028,65330013
65297035,2630856848
65297035,65357346
65297035,65287888
65297108,4062847020
65297108,4062847056
65297108,65309568
65297108,65329934
65297144,65309583
65297144,6356743346
65297144,65297147
65297144,65295132
65297147,65297149
65297147,65309586
65297147,65329911
65297147,65297144
65297149,4035891345
65297149,65297147
65297149,65309588
65297149,65329919
65297424,65297427
65297424,1607089656
65297424,65299753
65297424,65299750
65297427,65296954
65297427,65297424
65297427,65316976
65297434,258972779
65297434,260168596
65297434,2899908796
65297439,260168596
65297439,65283145
65297442,65297439
65297442,1607089648
65297442,65305725
65297442,65330298
65299193,4062847007
65299193,4062847207
65299193,65342069
65299193,65322468
65299643,65317312
65299643,65358533
65299643,4047651034
65299654,258922135
65299654,4047651034
65299654,65364781
65299685,65310660
65299685,65310657
65299685,65295162
65299691,65333152
65299691,65364777
65299691,65299693
65299691,65295162
65299693,65353313
65299693,65333155
65299693,65299698
65299693,65299691
65299698,65333157
65299698,65340959
65299698,65299693
65299698,4045528439
65299750,65297424
65299750,1607089658
65299750,1607089625
65299753,65305729
65299753,65299756
65299753,65297424
65299753,1607089652
65299756,65299759
65299756,65299753
65299756,1607089611
65299756,65335446
65299759,65299761
65299759,65299756
65299759,1607089647
65299759,65335448
65299761,65299763
65299761,65299759
65299761,1607089626
65299761,65335451
65299763,65299761
65299763,65335454
65299763,65305916
65299763,10755076821
65299765,65358626
65301236,65301258
65301236,65301243
65301243,65301266
65301243,65301236
65301258,65301266
65301258,65332289
65301258,65301236
65301266,65301243
65301266,65332297
65301266,65301258
65301273,65360368
65301273,65301296
65301296,65301316
65301296,65301273
65301296,65355106
65301316,65301296
65301316,1711226144
65301316,65319692
65302639,65306421
65302639,258972096
65302639,65332985
65302639,65332942
65302641,258972096
65302641,65302643
65302641,65352594
65302643,65302646
65302643,65325172
65302643,65302641
65302646,65302643
65302646,1196719915
65302646,1777579938
65302650,65302665
65302650,8274993679
65302650,65319707
65302665,65352591
65302665,65326405
65302665,65302650
65302936,65302941
65302941,65302947
65302941,65302989
65302947,65337322
65302952,65302954
65302952,65302981
